sem 0: 	major: ['MCB-Biochem & Mol Biol']: 	1 Psychology-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	35AC Integrative Biology-Credit 	1A Mathematics-A 	1AL Chemistry-A 	3AC Anthropology-A 	1A Chemistry-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5A Slavic Languages & Lit-A 	3AL Chemistry-A 	3A Chemistry-C 	1B Mathematics-B 	144 Music-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	80 Earth & Planetary Science-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	70AC Geography-Credit 	C12 Earth & Planetary Science-A 	R5B Slavic Languages & Lit-A 	1B Biology-B 	sem 5: 	major: ['Letters & Sci Undeclared']: 	10 Nutritional Science & Tox-B 	84 Anthropology-A 	1A Biology-C 	1 Anthropology-A 	1AL Biology-B 	sem 6: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-B 	3BL Chemistry-A 	6 Psychology-A 	sem 7: 	major: ['Letters & Sci Undeclared']: 	160 Integrative Biology-B 	3AC Sociology-A 	8B Physics-D 	197 Psychology-Credit 	sem 8: 	major: ['Integrative Biology']: 	C116 Psychology-A 	140 Integrative Biology-B 	197 Psychology-Credit 	101 Psychology-A 	sem 9: 	major: ['Integrative Biology', 'Psychology']: 	102 Molecular & Cell Biology-B 	N140 Psychology-A 	sem 10: 	major: ['Integrative Biology', 'Psychology']: 	158LF Integrative Biology-A 
label: 	['135 Psychology', 'C162 Psychology', '169 Integrative Biology', '1 Physical Education', '130 Psychology']
predict: 	['110 Molecular & Cell Biology', 'C100A Molecular & Cell Biology', '104 Molecular & Cell Biology', '53 Mathematics', '150 Molecular & Cell Biology', '54 Mathematics', '105 Electrical Engineering', '113 Mathematics', '16B Mathematics', '121A Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	12 Physical Education-A 	3AC Anthropology-D 	10 Geography-Credit 	32 Mathematics-C 	sem 1: 	major: ['Letters & Sci Undeclared']: 	R1A Comparative Literature-B 	160 Italian Studies-Credit 	1A Chemistry-D 	1AL Chemistry-B 	12 Physical Education-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	98 Nutritional Science & Tox-Credit 	12 Physical Education-Credit 	3AC Sociology-B 	R1B Comparative Literature-B 	1A Chemistry-C 	sem 3: 	major: ['Letters & Sci Undeclared']: 	12 Physical Education-Credit 	1B Biology-D 	10 Nutritional Science & Tox-C 	14 Public Health-C 	sem 4: 	major: ['Letters & Sci Undeclared']: 	3AC Anthropology-B 	N1 Psychology-C 	sem 5: 	major: ['Letters & Sci Undeclared']: 	98 Public Health-Credit 	179 Political Science-No Credit 	10 American Studies-B 	116 Public Health-Credit 	102 American Studies-C 	12 Physical Education-Credit 	sem 6: 	major: ['Letters & Sci Undeclared']: 	12 Physical Education-Credit 	29 Music-A 	101 American Studies-B 	198 Public Health-Credit 	176 Chicano Studies-B 	sem 7: 	major: ['Letters & Sci Undeclared']: 	126 Public Health-B 	112 Social Welfare-B 	sem 8: 	major: ['Letters & Sci Undeclared']: 	55 Molecular & Cell Biology-B 	12 Physical Education-Credit 	101 Public Policy-Credit 	94 Peace & Conflict Studies-Credit 	150D Public Health-B 
label: 	['198 Public Health', 'C160 Public Health', '111AC Sociology', '12 Physical Education', '1B Biology']
predict: 	['140 Integrative Biology', '150L Molecular & Cell Biology', '40 Geography', '2AC Anthropology', '194 Computer Science', '1 Anthropology', '141A Physics', '3BL Chemistry', '140 Electrical Engineering', '105 Chemistry']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	1A Mathematics-A 	1AL Chemistry-A 	1A Chemistry-B 	R1A College Writing Programs-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	3A Chemistry-A 	1B Mathematics-A 	100B Vietnamese-A 	1B Biology-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	R5B German-A 	3AC Anthropology-B 	sem 3: 	major: ['Letters & Sci Undeclared']: 	8A Physics-A 	1A Biology-A 	3AL Chemistry-A 	2 Psychology-A 	1AL Biology-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	3B Chemistry-A 	C164 Dutch-Credit 	3BL Chemistry-A 	140 Integrative Biology-B 	sem 5: 	major: ['Letters & Sci Undeclared']: 	102 Molecular & Cell Biology-B 	1 Economics-B 	sem 6: 	major: ['Letters & Sci Undeclared']: 	132 Molecular & Cell Biology-No Credit 	8B Physics-B 	131 Integrative Biology-C 	150B Public Health-B 	sem 7: 	major: ['L&S Public Health']: 	1 Spanish-B 	142 Public Health-A 	1B Chemistry-A 	198 Asian American Studies-Credit 	104 Molecular & Cell Biology-C 	sem 8: 	major: ['L&S Public Health']: 	C112 Molecular & Cell Biology-B 	180 Molecular & Cell Biology-Credit 	sem 9: 	major: ['L&S Public Health']: 	50AC Env Sci, Policy, & Mgmt-Credit 	133L Molecular & Cell Biology-A 	135A Molecular & Cell Biology-B 
