sem 0: 	major: ['Letters & Sci Undeclared']: 	103A French-A 	C62 Molecular & Cell Biology-A 	179 Political Science-Credit 	102 French-A 	5 Political Science-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	1AL Chemistry-A 	1A Chemistry-A 	R1B Legal Studies-A 	7B History-B 	C10 Astronomy-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	3AL Chemistry-A 	54 Mathematics-A 	7A Physics-C 	118A French-Credit 	3A Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	1B Biology-A 	3B Chemistry-B 	C180U Letters & Science-A 	3BL Chemistry-A 	53 Mathematics-A 	sem 4: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-A 	sem 5: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-A 	8B Physics-A 	135 Chemistry-A 	197 Computer Science-Credit 	1A Biology-A 	sem 6: 	major: ['MCB-Biochem & Mol Biol']: 	198 Computer Science-Credit 	C100A Molecular & Cell Biology-A 	70 Computer Science-A 	61B Computer Science-A 	sem 7: 	major: ['L&S Computer Science', 'MCB-Biochem & Mol Biol']: 	61C Computer Science-B 	375 Computer Science-Credit 	140 Molecular & Cell Biology-B 	110 Molecular & Cell Biology-A 	170 Computer Science-B 	198BC Computational Biology-Credit 
label: 	['186 Computer Science', 'C110L Molecular & Cell Biology', '188 Computer Science', '161 Computer Science']
predict: 	['113 Mathematics', '55 Mathematics', '16B Mathematics', '128A Mathematics', '104 Mathematics', '1B Mathematics', 'H54 Mathematics', '10B Mathematics', '121A Mathematics', '191 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Music-Credit 	144 Music-A 	98 Molecular & Cell Biology-Credit 	4A Chemistry-A 	H53 Mathematics-A 	1 Psychology-A 	R1B Comparative Literature-A 	98 Theater Dance & Perf Stds-Credit 	sem 1: 	major: ['Letters & Sci Undeclared']: 	4B Chemistry-B 	98 Molecular & Cell Biology-Credit 	55 Mathematics-A 	22 Letters & Science-A 	61A Computer Science-A 	7A Physics-B 	sem 2: 	major: ['Letters & Sci Undeclared']: 	1AL Biology-A 	H7B Physics-B 	101A Economics-A 	1A Biology-B 	H54 Mathematics-A 	112A Chemistry-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	C103 Public Policy-A 	61C Computer Science-A 	135 Philosophy-A 	H7C Physics-A 	C10 Astronomy-A 	sem 4: 	major: ['Mathematics']: 	111 Physics-A 	H104 Mathematics-Credit 	137A Physics-B 	104 Mathematics-B 	61B Computer Science-A 	sem 5: 	major: ['Mathematics']: 	105 Physics-B 	113 Mathematics-B 	141 Music-A 	111 Physics-C 	170 Computer Science-B 	sem 6: 	major: ['Mathematics']: 	375 Computer Science-Credit 	126 Peace & Conflict Studies-A 	250A Mathematics-Credit 	162 Computer Science-B 
label: 	['185 Mathematics', '151 Electrical Eng & Computer Sci', '151LB Electrical Eng & Computer Sci', '137B Physics', '7B History', '198 Physics']
predict: 	['53 Mathematics', '54 Mathematics', '16B Mathematics', '1B Mathematics', '10B Mathematics', '128A Mathematics', '121A Mathematics', '191 Mathematics', '121B Mathematics', '185 Mathematics']
correct: 	['185 Mathematics']

sem 0: 	major: ['Letters & Sci Undeclared']: 	98 Asian American Studies-Credit 	53 Mathematics-C 	20 Statistics-A 	1 Psychology-No Credit 	C10 Physics-B 	R1A English-B 	sem 1: 	major: ['Letters & Sci Undeclared']: 	134 Statistics-Credit 	10 Computer Science-A 	54 Mathematics-A 	20A Music-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	61A Computer Science-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	2AC Anthropology-Credit 	10 Nutritional Science & Tox-Credit 	98 Computer Science-Credit 	61C Computer Science-D 	sem 4: 	major: ['Letters & Sci Undeclared']: 	R1B French-C 	61C Computer Science-B 	70 Computer Science-B 	61B Computer Science-B 	sem 5: 	major: ['Letters & Sci Undeclared']: 	188 Computer Science-B 	sem 6: 	major: ['L&S Computer Science']: 	12A Philosophy-Credit 	170 Computer Science-B 	161 Computer Science-Credit 	40 Electrical Engineering-B 
label: 	['162 Computer Science', '186 Computer Science', '136 Economics', '130 Geography']
predict: 	['53 Mathematics', '113 Mathematics', '55 Mathematics', '128A Mathematics', '16B Mathematics', 'H54 Mathematics', '104 Mathematics', '1B Mathematics', '10B Mathematics', '121A Mathematics']
correct: 	[]

sem 0: 	major: ['Environ Econ & Policy']: 	1 Psychology-A 	16A Mathematics-A 	C1 Environ Econ & Policy-Credit 	C10 Astronomy-B 	sem 1: 	major: ['Environ Econ & Policy']: 	10 Computer Science-A 	R1B Theater Dance & Perf Stds-B 	20 Statistics-B 	143 Music-A 	1B Mathematics-A 	sem 2: 	major: ['Environ Econ & Policy']: 	98 Public Health-Credit 	54 Mathematics-B 	10 Nutritional Science & Tox-A 	134 Statistics-B 	R5A Scandinavian-A 	116 Public Health-Credit 	sem 3: 	major: ['Environ Econ & Policy']: 	135 Statistics-A 	133 Statistics-B 	53 Mathematics-C 	1 Economics-B 	sem 4: 	major: ['Letters & Sci Undeclared']: 	W53 Mathematics-B 	sem 5: 	major: ['Statistics']: 	61A Computer Science-Credit 	153 Statistics-B 	103 Business Admin-Undergrad-B 	101A Economics-B 
label: 	['C8 Statistics', '144A Public Health', '151A Statistics', '144B Public Health']
predict: 	['113 Mathematics', '55 Mathematics', '16B Mathematics', '128A Mathematics', '104 Mathematics', 'H54 Mathematics', '10B Mathematics', '121A Mathematics', '191 Mathematics', '185 Mathematics']
correct: 	[]

sem 0: 	major: ['Engineering Undeclared']: 	61A Computer Science-B 	R1A Rhetoric-B 	92 Engineering-Credit 	54 Mathematics-A 	1AL Chemistry-A 	1A Chemistry-A 	sem 1: 	major: ['Engineering Undeclared']: 	61B Computer Science-A 	7B Physics-A 	20 Electrical Engineering-B 	W21 Statistics-A 	R4B College Writing Programs-A 	sem 2: 	major: ['Electrical Eng & Comp Sci']: 	70 Computer Science-A 	sem 3: 	major: ['Electrical Eng & Comp Sci']: 	61C Computer Science-B 	40 Electrical Engineering-A 	170 Computer Science-A 	98 Music-Credit 	sem 4: 	major: ['Electrical Eng & Comp Sci']: 	127AC History-Credit 	198 Computer Science-Credit 	97 Computer Science-Credit 	195 Computer Science-Credit 	188 Computer Science-A 	184 Computer Science-A 	sem 5: 	major: ['Electrical Eng & Comp Sci']: 	189 Computer Science-B 	186 Computer Science-A 
label: 	['C280 Computer Science', '162 Computer Science', '120 Scandinavian', '197 Computer Science', '161 Computer Science']
predict: 	['53 Mathematics', '113 Mathematics', '54 Mathematics', '55 Mathematics', '16B Mathematics', '128A Mathematics', '10B Mathematics', '1B Mathematics', '104 Mathematics', 'H54 Mathematics']
correct: 	[]

sem 0: 	major: ['Letters & Sci Undeclared']: 	C62 Molecular & Cell Biology-A 	54 Mathematics-A 	61A Computer Science-A 	C70T Letters & Science-A 	sem 1: 	major: ['Letters & Sci Undeclared']: 	70 Computer Science-A 	4 Philosophy-A 	H53 Mathematics-A 	61B Computer Science-A 	sem 2: 	major: ['Letters & Sci Undeclared']: 	25A Music-A 	61C Computer Science-A 	sem 3: 	major: ['Letters & Sci Undeclared']: 	113 Mathematics-A 	104 Mathematics-A 	121AC Anthropology-Credit 	97 Computer Science-Credit 	sem 4: 	major: ['L&S Computer Science']: 	198 Computer Science-Credit 	170 Computer Science-A 	20 Electrical Engineering-A 	185 Mathematics-A 	sem 5: 	major: ['L&S Computer Science']: 	375 Computer Science-Credit 	142 Mathematics-A 	162 Computer Science-A 	1 Physical Education-Credit 
label: 	['161 Computer Science', '179 Political Science', '174 Computer Science']
predict: 	['53 Mathematics', '54 Mathematics', '55 Mathematics', '16B Mathematics', '10B Mathematics', '128A Mathematics', '1B Mathematics', 'H54 Mathematics', '121A Mathematics', '121B Mathematics']
correct: 	[]

